Orijinal,Stem (Gövde),Lemma (Kök)
sağlık,sağlık,sağlık
kuruluşlarını,kuruluşlarını,kuruluş
tek,tek,tek
elden,elden,el
planlayıp,planlayıp,planlamak
hizmet,hizmet,hizmet
vermesini,vermesini,vermek
düzenler,düzenler,düzmek
.,.,.
Devlet,devlet,devlet
",",",",","
görevini,görevini,görev
kamu,kamu,kamu
özel,özel,özel
kesimlerdeki,kesimlerdeki,kesim
sağlık,sağlık,sağlık
sosyal,sosyal,sosyal
kurumlarından,kurumlarından,kurum
yararlanarak,yararlanarak,yarar
",",",",","
onları,onları,on
denetleyerek,denetleyerek,denetlemek
yerine,yerin,yerine
getirir,getirir,getirmek
.,.,.
Sağlık,sağlık,sağlık
hizmetlerinin,hizmetlerinin,hizmet
yaygın,yaygın,yaygı
bir,bir,bir
şekilde,şekild,şekil
yerine,yerin,yerine
getirilmesi,getirilmesi,getirmek
kanunla,kanunla,Kanun
genel,genel,genelmek
sağlık,sağlık,sağlık
sigortası,sigortası,sigorta
kurulabilir,kurulabilir,kurulabilir
.,.,.
B.,b.,B
Konut,konut,konut
hakkı,hakkı,Hak
MADDE,madd,madde
57-,57-,57-
Devlet,devlet,devlet
",",",",","
şehirlerin,şehirlerin,şehir
özelliklerini,özelliklerini,özellik
çevre,çevr,çevre
şartlarını,şartlarını,şart
gözeten,gözeten,gözemek
bir,bir,bir
planlama,planlama,planlamak
çerçevesinde,çerçevesind,çerçeve
",",",",","
konut,konut,konut
ihtiyacını,ihtiyacını,ihtiyaç
karşılayacak,karşılayacak,karşılayacak
tedbirleri,tedbirleri,tedbir
alır,alır,alır
",",",",","
ayrıca,ayrıca,ayrıç
toplu,toplu,top
konut,konut,konut
teşebbüslerini,teşebbüslerini,teşebbüs
destekler,destekl,destek
.,.,.
IX,ix,ix
.,.,.
Gençlik,gençlik,Genç
spor,spor,spor
A.,a.,A
Gençliğin,gençliğin,Genç
korunması,korunması,korunması
MADDE,madd,madde
58-,58-,58-
Devlet,devlet,devlet
",",",",","
istiklâl,istiklâl,istiklâl
Cumhuriyetimizin,cumhuriyetimizin,cumhuriyet
emanet,emanet,emanet
edildiği,edildiği,edildiği
gençlerin,gençlerin,Genç
müsbet,müsbet,müsbet
ilmin,ilmin,İlmi
ışığında,ışığında,ışık
",",",",","
Atatürk,atatürk,Atatürk
ilke,ilk,ilk
inkılâpları,inkılâpları,inkılâp
doğrultusunda,doğrultusunda,doğrultu
Devletin,devletin,devlet
ülkesi,ülkesi,Ülke
milletiyle,milletiyl,millet
bölünmez,bölünmez,bölmek
bütünlüğünü,bütünlüğünü,bütün
ortadan,ortadan,orta
kaldırmayı,kaldırmayı,kaldırmak
amaç,amaç,amaç
edinen,edinen,edinmek
görüşlere,görüşlere,görmek
karşı,karşı,karşı
yetişme,yetişm,yetişmek
gelişmelerini,gelişmelerini,gelişmek
sağlayıcı,sağlayıcı,sağlayıcı
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
Devlet,devlet,devlet
",",",",","
gençleri,gençleri,Genç
alkol,alkol,alkol
düşkünlüğünden,düşkünlüğünden,düşkün
",",",",","
uyuşturucu,uyuşturucu,uyuşturucu
maddelerden,maddelerden,madde
",",",",","
suçluluk,suçluluk,suçlu
",",",",","
kumar,kumar,kumar
benzeri,benzeri,benzeri
kötü,kötü,kötü
alışkanlıklardan,alışkanlıklardan,alışkan
cehaletten,cehaletten,cehalet
korumak,korumak,korumak
gerekli,gerekli,gerekli
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
B.,b.,B
Sporun,sporun,spor
geliştirilmesi,geliştirilmesi,gelişmek
tahkim,tahkim,tahkim
(,(,(
1,1,1
),),)
MADDE,madd,madde
59-,59-,59-
Devlet,devlet,devlet
",",",",","
yaştaki,yaştaki,yaş
Türk,türk,Türk
vatandaşlarının,vatandaşlarının,vatandaş
beden,beden,beden
ruh,ruh,ruh
sağlığını,sağlığını,sağlık
geliştirecek,geliştirecek,gelişmek
tedbirleri,tedbirleri,tedbir
alır,alır,alır
",",",",","
sporun,sporun,spor
kitlelere,kitleler,kitle
yayılmasını,yayılmasını,yayılmak
teşvik,teşvik,teşvik
eder,eder,eder
.,.,.
Devlet,devlet,devlet
başarılı,başarılı,başarı
sporcuyu,sporcuyu,spor
korur,korur,Korur
.,.,.
(,(,(
Ek,ek,ekmek
fıkra,fıkra,fıkra
:,:,:
17/3/2011-6214/1,17/3/2011-6214/1,17/3/2011-6214/1
md,md,Md
.,.,.
),),)
Spor,spor,spor
federasyonlarının,federasyonlarının,federasyon
spor,spor,spor
faaliyetlerinin,faaliyetlerinin,faaliyet
yönetimine,yönetimin,yönetim
disiplinine,disiplinin,disiplin
ilişkin,ilişkin,ilişki
kararlarına,kararlarına,karar
karşı,karşı,karşı
ancak,ancak,ancak
zorunlu,zorunlu,zorunlu
tahkim,tahkim,tahkim
yoluna,yoluna,yol
başvurulabilir,başvurulabilir,başvurmak
.,.,.
Tahkim,tahkim,tahkim
kurulu,kurulu,kurul
kararları,kararları,karar
kesin,kesin,kesmek
olup,olup,olup
kararlara,kararlara,karar
karşı,karşı,karşı
hiçbir,hiçbir,hiçbir
yargı,yargı,yargı
merciine,merciin,merciine
başvurulamaz,başvurulamaz,başvurmak
.,.,.
(,(,(
1,1,1
),),)
maddenin,maddenin,madde
kenar,kenar,kenar
başlığı,başlığı,başlık
“,“,“
B,b,B
.,.,.
Sporun,sporun,spor
geliştirilmesi,geliştirilmesi,gelişmek
”,”,”
iken,iken,iken
",",",",","
17/3/2011,17/3/2011,17/3/2011
tarihli,tarihli,tarih
6214,6214,6214
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
1,1,1
inci,inci,inci
maddesiyle,maddesiyl,madde
metne,metn,metin
işlendiği,işlendiği,iş
şekilde,şekild,şekil
değiştirilmiştir,değiştirilmiştir,değişmek
.,.,.
X.,x.,x
Sosyal,sosyal,sosyal
güvenlik,güvenlik,güvenlik
hakları,hakları,Hak
A.,a.,A
Sosyal,sosyal,sosyal
güvenlik,güvenlik,güvenlik
hakkı,hakkı,Hak
MADDE,madd,madde
60-,60-,60-
Herkes,herk,herkes
",",",",","
sosyal,sosyal,sosyal
güvenlik,güvenlik,güvenlik
hakkına,hakkına,Hak
sahiptir,sahiptir,sahip
.,.,.
Devlet,devlet,devlet
",",",",","
güvenliği,güvenliği,güvenlik
sağlayacak,sağlayacak,sağlayacak
gerekli,gerekli,gerekli
tedbirleri,tedbirleri,tedbir
alır,alır,alır
teşkilatı,teşkilatı,teşkilât
kurar,kurar,kurar
.,.,.
B.,b.,B
Sosyal,sosyal,sosyal
güvenlik,güvenlik,güvenlik
bakımından,bakımından,bakımından
özel,özel,özel
olarak,olarak,olarak
korunması,korunması,korunması
gerekenler,gerekenl,gerekmek
MADDE,madd,madde
61-,61-,61-
Devlet,devlet,devlet
",",",",","
harp,harp,harp
vazife,vazif,vazife
şehitlerinin,şehitlerinin,Şehit
dul,dul,dul
yetimleriyle,yetimleriyl,yetim
",",",",","
malûl,malûl,malul
gazileri,gazileri,gazi
korur,korur,Korur
toplumda,toplumda,top
kendilerine,kendilerin,kendi
yaraşır,yaraşır,yaraşmak
bir,bir,bir
hayat,hayat,hayat
seviyesi,seviyesi,seviye
sağlar,sağlar,sağ
.,.,.
Devlet,devlet,devlet
",",",",","
sakatların,sakatların,sakat
korunmalarını,korunmalarını,korunmalarını
toplum,toplum,top
hayatına,hayatına,hayat
intibaklarını,intibaklarını,intibak
sağlayıcı,sağlayıcı,sağlayıcı
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
Yaşlılar,yaşlılar,yaş
",",",",","
Devletçe,devletç,devlet
korunur,korunur,korunur
.,.,.
Yaşlılara,yaşlılara,yaş
Devlet,devlet,devlet
yardımı,yardımı,Yard
sağlanacak,sağlanacak,sağ
diğer,diğer,diğer
haklar,haklar,Hak
kolaylıklar,kolaylıklar,kolay
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
Devlet,devlet,devlet
",",",",","
korunmaya,korunmaya,korunmaya
muhtaç,muhtaç,muhtaç
çocukların,çocukların,çocuk
topluma,topluma,top
kazandırılması,kazandırılması,kazanmak
türlü,türlü,tür
tedbiri,tedbiri,tedbir
alır,alır,alır
.,.,.
amaçlarla,amaçlarla,amaç
gerekli,gerekli,gerekli
teşkilat,teşkilat,teşkilât
tesisleri,tesisleri,tesis
kurar,kurar,kurar
kurdurur,kurdurur,kurmak
.,.,.
C.,c.,C
Yabancı,yabancı,yabancı
ülkelerde,ülkelerd,Ülke
çalışan,çalışan,çalışmak
Türk,türk,Türk
vatandaşları,vatandaşları,vatandaş
MADDE,madd,madde
62-,62-,62-
Devlet,devlet,devlet
",",",",","
yabancı,yabancı,yabancı
ülkelerde,ülkelerd,Ülke
çalışan,çalışan,çalışmak
Türk,türk,Türk
vatandaşlarının,vatandaşlarının,vatandaş
aile,ail,aile
birliğinin,birliğinin,birlik
",",",",","
çocuklarının,çocuklarının,çocuk
eğitiminin,eğitiminin,eğitim
",",",",","
kültürel,kültürel,kültürel
ihtiyaçlarının,ihtiyaçlarının,ihtiyaç
sosyal,sosyal,sosyal
güvenliklerinin,güvenliklerinin,güvenlik
sağlanması,sağlanması,sağ
",",",",","
anavatanla,anavatanla,anavatan
bağlarının,bağlarının,bağ
korunması,korunması,korunması
yurda,yurda,yurt
dönüşlerinde,dönüşlerind,dönmek
yardımcı,yardımcı,yardım
olunması,olunması,olunması
gereken,gereken,gerekmek
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
XI,xi,Xi
.,.,.
Tarih,tarih,tarih
",",",",","
kültür,kültür,kültür
tabiat,tabiat,tabiat
varlıklarının,varlıklarının,varlık
korunması,korunması,korunması
MADDE,madd,madde
63-,63-,63-
Devlet,devlet,devlet
",",",",","
tarih,tarih,tarih
",",",",","
kültür,kültür,kültür
tabiat,tabiat,tabiat
varlıklarının,varlıklarının,varlık
değerlerinin,değerlerinin,değer
korunmasını,korunmasını,korunmasını
sağlar,sağlar,sağ
",",",",","
amaçla,amaçla,amaçlamak
destekleyici,destekleyici,destekleyici
teşvik,teşvik,teşvik
edici,edici,Edi
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
varlıklar,varlıklar,varlık
değerlerden,değerlerden,değer
özel,özel,özel
mülkiyet,mülkiyet,mülkiyet
konusu,konusu,konu
olanlara,olanlara,olanlara
getirilecek,getirilecek,getirmek
sınırlamalar,sınırlamalar,sınırlamak
nedenle,nedenl,neden
hak,hak,Hak
sahiplerine,sahiplerin,sahip
yapılacak,yapılacak,yapmak
yardımlar,yardımlar,Yard
tanınacak,tanınacak,tanımak
muafiyetler,muafiyetl,muafiyet
kanunla,kanunla,Kanun
düzenlenir,düzenlenir,düzmek
.,.,.
XII,xii,xii
.,.,.
Sanatın,sanatın,sanat
sanatçının,sanatçının,sanat
korunması,korunması,korunması
MADDE,madd,madde
64-,64-,64-
Devlet,devlet,devlet
",",",",","
sanat,sanat,sanat
faaliyetlerini,faaliyetlerini,faaliyet
sanatçıyı,sanatçıyı,sanat
korur,korur,Korur
.,.,.
Sanat,sanat,sanat
eserlerinin,eserlerinin,eser
sanatçının,sanatçının,sanat
korunması,korunması,korunması
",",",",","
değerlendirilmesi,değerlendirilmesi,değerlendirmek
",",",",","
desteklenmesi,desteklenmesi,destek
sanat,sanat,sanat
sevgisinin,sevgisinin,sevgi
yayılması,yayılması,yayılmak
gereken,gereken,gerekmek
tedbirleri,tedbirleri,tedbir
alır,alır,alır
.,.,.
XIII,xiii,xiii
.,.,.
Devletin,devletin,devlet
iktisadî,iktisadî,iktisadî
sosyal,sosyal,sosyal
ödevlerinin,ödevlerinin,ödev
sınırları1,sınırları1,sınırları1
MADDE,madd,madde
65-,65-,65-
(,(,(
Değişik,değişik,değişik
:,:,:
3/10/2001-4709/22,3/10/2001-4709/22,3/10/2001-4709/22
md,md,Md
.,.,.
),),)
Devlet,devlet,devlet
",",",",","
sosyal,sosyal,sosyal
ekonomik,ekonomik,ekonomik
alanlarda,alanlarda,alan
Anayasa,anayasa,anayasa
belirlenen,belirlenen,belirlemek
görevlerini,görevlerini,görev
",",",",","
görevlerin,görevlerin,görev
amaçlarına,amaçlarına,amaç
uygun,uygun,Uygun
öncelikleri,öncelikleri,önce
gözeterek,gözeterek,gözemek
malî,malî,malî
kaynaklarının,kaynaklarının,Kaynak
yeterliliği,yeterliliği,yeter
ölçüsünde,ölçüsünde,ölçü
yerine,yerin,yerine
getirir,getirir,getirmek
.,.,.
(,(,(
1,1,1
),),)
maddenin,maddenin,madde
kenar,kenar,kenar
başlığı,başlığı,başlık
“,“,“
XIII,xiii,xiii
.,.,.
Sosyal,sosyal,sosyal
ekonomik,ekonomik,ekonomik
hakların,hakların,Hak
sınırı,sınırı,sınır
”,”,”
iken,iken,iken
",",",",","
3/10/2001,3/10/2001,3/10/2001
tarihli,tarihli,tarih
4709,4709,4709
sayılı,sayılı,sayılı
Kanunun,kanunun,Kanun
22,22,22
nci,nci,N
maddesiyle,maddesiyl,madde
metne,metn,metin
işlendiği,işlendiği,iş
şekilde,şekild,şekil
değiştirilmiştir,değiştirilmiştir,değişmek
.,.,.
